clip,start,,,,id
3001_21_JUMP_STREET_00.04.43.447-00.04.44.688,00.04.43.447,00.04.44.688,00.04.43.068,00.04.45.068,_
3001_21_JUMP_STREET_00.04.46.025-00.04.47.994,00.04.46.025,00.04.47.994,00.04.46.010,00.04.48.010,[3001_PERSON10]
3001_21_JUMP_STREET_00.04.50.923-00.04.53.160,00.04.50.923,00.04.53.160,00.04.50.923,00.04.53.160,[3001_PERSON10]
3001_21_JUMP_STREET_00.04.54.287-00.04.55.595,00.04.54.287,00.04.55.595,00.04.53.941,00.04.55.941,_
3001_21_JUMP_STREET_00.04.56.019-00.04.58.572,00.04.56.019,00.04.58.572,00.04.56.019,00.04.58.572,_
3001_21_JUMP_STREET_00.05.01.039-00.05.11.661,00.05.01.039,00.05.11.661,00.05.01.039,00.05.11.661,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.05.11.436-00.05.14.144,00.05.11.436,00.05.14.144,00.05.11.436,00.05.14.144,_
3001_21_JUMP_STREET_00.05.21.714-00.05.23.328,00.05.21.714,00.05.23.328,00.05.21.521,00.05.23.521,_
3001_21_JUMP_STREET_00.05.22.320-00.05.24.566,00.05.22.320,00.05.24.566,00.05.22.320,00.05.24.566,[3001_PERSON10]
3001_21_JUMP_STREET_00.05.27.229-00.05.28.465,00.05.27.229,00.05.28.465,00.05.26.847,00.05.28.847,[3001_PERSON10]
3001_21_JUMP_STREET_00.05.29.021-00.05.32.792,00.05.29.021,00.05.32.792,00.05.29.021,00.05.32.792,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.05.33.309-00.05.36.553,00.05.33.309,00.05.36.553,00.05.33.309,00.05.36.553,_
3001_21_JUMP_STREET_00.05.44.209-00.05.45.901,00.05.44.209,00.05.45.901,00.05.44.055,00.05.46.055,_
3001_21_JUMP_STREET_00.05.52.194-00.05.54.021,00.05.52.194,00.05.54.021,00.05.52.108,00.05.54.108,[3001_PERSON10]
3001_21_JUMP_STREET_00.05.55.418-00.05.56.940,00.05.55.418,00.05.56.940,00.05.55.179,00.05.57.179,[3001_PERSON10]
3001_21_JUMP_STREET_00.06.01.393-00.06.05.543,00.06.01.393,00.06.05.543,00.06.01.393,00.06.05.543,_
3001_21_JUMP_STREET_00.06.07.743-00.06.11.541,00.06.07.743,00.06.11.541,00.06.07.743,00.06.11.541,[3001_PERSON10]
3001_21_JUMP_STREET_00.06.11.541-00.06.13.725,00.06.11.541,00.06.13.725,00.06.11.541,00.06.13.725,_
3001_21_JUMP_STREET_00.06.13.725-00.06.15.733,00.06.13.725,00.06.15.733,00.06.13.725,00.06.15.733,_
3001_21_JUMP_STREET_00.06.17.808-00.06.23.265,00.06.17.808,00.06.23.265,00.06.17.808,00.06.23.265,_
3001_21_JUMP_STREET_00.06.25.256-00.06.28.697,00.06.25.256,00.06.28.697,00.06.25.256,00.06.28.697,_
3001_21_JUMP_STREET_00.06.38.509-00.06.40.297,00.06.38.509,00.06.40.297,00.06.38.403,00.06.40.403,[3001_PERSON10]
3001_21_JUMP_STREET_00.07.20.792-00.07.23.604,00.07.20.792,00.07.23.604,00.07.20.792,00.07.23.604,_
3001_21_JUMP_STREET_00.07.26.430-00.07.29.170,00.07.26.430,00.07.29.170,00.07.26.430,00.07.29.170,[3001_PERSON17]
3001_21_JUMP_STREET_00.07.30.014-00.07.31.787,00.07.30.014,00.07.31.787,00.07.29.901,00.07.31.901,[3001_PERSON10]
3001_21_JUMP_STREET_00.07.35.001-00.07.38.051,00.07.35.001,00.07.38.051,00.07.35.001,00.07.38.051,_
3001_21_JUMP_STREET_00.07.38.051-00.07.40.932,00.07.38.051,00.07.40.932,00.07.38.051,00.07.40.932,[3001_PERSON17]
3001_21_JUMP_STREET_00.07.46.775-00.07.55.351,00.07.46.775,00.07.55.351,00.07.46.775,00.07.55.351,[3001_PERSON17]
3001_21_JUMP_STREET_00.07.59.855-00.08.05.513,00.07.59.855,00.08.05.513,00.07.59.855,00.08.05.513,[3001_PERSON10]
3001_21_JUMP_STREET_00.08.08.173-00.08.10.891,00.08.08.173,00.08.10.891,00.08.08.173,00.08.10.891,_
3001_21_JUMP_STREET_00.08.13.371-00.08.13.697,00.08.13.371,00.08.13.697,00.08.12.534,00.08.14.534,_
3001_21_JUMP_STREET_00.08.13.697-00.08.26.593,00.08.13.697,00.08.26.593,00.08.13.697,00.08.26.593,"[3001_PERSON10],[3001_PERSON10]"
3001_21_JUMP_STREET_00.08.30.808-00.08.39.023,00.08.30.808,00.08.39.023,00.08.30.808,00.08.39.023,[3001_PERSON17]
3001_21_JUMP_STREET_00.08.39.601-00.08.42.843,00.08.39.601,00.08.42.843,00.08.39.601,00.08.42.843,_
3001_21_JUMP_STREET_00.08.42.843-00.08.48.277,00.08.42.843,00.08.48.277,00.08.42.843,00.08.48.277,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.08.48.453-00.08.50.918,00.08.48.453,00.08.50.918,00.08.48.453,00.08.50.918,_
3001_21_JUMP_STREET_00.08.51.476-00.08.57.394,00.08.51.476,00.08.57.394,00.08.51.476,00.08.57.394,[3001_PERSON17]
3001_21_JUMP_STREET_00.08.57.715-00.09.06.313,00.08.57.715,00.09.06.313,00.08.57.715,00.09.06.313,_
3001_21_JUMP_STREET_00.10.21.308-00.10.23.286,00.10.21.308,00.10.23.286,00.10.21.297,00.10.23.297,_
3001_21_JUMP_STREET_00.11.19.806-00.11.23.729,00.11.19.806,00.11.23.729,00.11.19.806,00.11.23.729,_
3001_21_JUMP_STREET_00.11.22.032-00.11.24.605,00.11.22.032,00.11.24.605,00.11.22.032,00.11.24.605,[3001_PERSON10]
3001_21_JUMP_STREET_00.11.24.605-00.11.33.620,00.11.24.605,00.11.33.620,00.11.24.605,00.11.33.620,[3001_PERSON17]
3001_21_JUMP_STREET_00.11.36.061-00.11.40.852,00.11.36.061,00.11.40.852,00.11.36.061,00.11.40.852,[3001_PERSON17]
3001_21_JUMP_STREET_00.11.38.097-00.11.39.618,00.11.38.097,00.11.39.618,00.11.37.858,00.11.39.858,_
3001_21_JUMP_STREET_00.11.40.133-00.11.41.118,00.11.40.133,00.11.41.118,00.11.39.626,00.11.41.626,_
3001_21_JUMP_STREET_00.11.41.289-00.11.50.111,00.11.41.289,00.11.50.111,00.11.41.289,00.11.50.111,_
3001_21_JUMP_STREET_00.11.50.111-00.11.52.038,00.11.50.111,00.11.52.038,00.11.50.075,00.11.52.075,_
3001_21_JUMP_STREET_00.11.52.038-00.11.54.078,00.11.52.038,00.11.54.078,00.11.52.038,00.11.54.078,_
3001_21_JUMP_STREET_00.11.54.078-00.11.55.465,00.11.54.078,00.11.55.465,00.11.53.772,00.11.55.772,_
3001_21_JUMP_STREET_00.11.56.116-00.11.59.711,00.11.56.116,00.11.59.711,00.11.56.116,00.11.59.711,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.12.02.161-00.12.09.855,00.12.02.161,00.12.09.855,00.12.02.161,00.12.09.855,_
3001_21_JUMP_STREET_00.12.11.223-00.12.13.168,00.12.11.223,00.12.13.168,00.12.11.196,00.12.13.196,[3001_PERSON10]
3001_21_JUMP_STREET_00.12.49.209-00.12.53.456,00.12.49.209,00.12.53.456,00.12.49.209,00.12.53.456,[3001_PERSON22]
3001_21_JUMP_STREET_00.12.59.829-00.13.01.580,00.12.59.829,00.13.01.580,00.12.59.705,00.13.01.705,"[3001_PERSON22],[3001_PERSON10]"
3001_21_JUMP_STREET_00.13.26.497-00.13.30.337,00.13.26.497,00.13.30.337,00.13.26.497,00.13.30.337,_
3001_21_JUMP_STREET_00.13.47.753-00.13.49.029,00.13.47.753,00.13.49.029,00.13.47.391,00.13.49.391,"[3001_PERSON22],[3001_PERSON10]"
3001_21_JUMP_STREET_00.14.23.006-00.14.25.880,00.14.23.006,00.14.25.880,00.14.23.006,00.14.25.880,_
3001_21_JUMP_STREET_00.14.25.142-00.14.30.966,00.14.25.142,00.14.30.966,00.14.25.142,00.14.30.966,[3001_PERSON19]
3001_21_JUMP_STREET_00.14.49.421-00.14.50.868,00.14.49.421,00.14.50.868,00.14.49.145,00.14.51.145,_
3001_21_JUMP_STREET_00.14.51.389-00.14.52.558,00.14.51.389,00.14.52.558,00.14.50.974,00.14.52.974,[3001_PERSON19]
3001_21_JUMP_STREET_00.14.54.907-00.14.56.301,00.14.54.907,00.14.56.301,00.14.54.604,00.14.56.604,_
3001_21_JUMP_STREET_00.14.57.197-00.15.00.857,00.14.57.197,00.15.00.857,00.14.57.197,00.15.00.857,[3001_PERSON19]
3001_21_JUMP_STREET_00.15.04.171-00.15.10.410,00.15.04.171,00.15.10.410,00.15.04.171,00.15.10.410,[3001_PERSON19]
3001_21_JUMP_STREET_00.15.16.598-00.15.19.677,00.15.16.598,00.15.19.677,00.15.16.598,00.15.19.677,[3001_PERSON19]
3001_21_JUMP_STREET_00.15.47.144-00.15.49.343,00.15.47.144,00.15.49.343,00.15.47.144,00.15.49.343,"[3001_PERSON22],[3001_PERSON17]"
3001_21_JUMP_STREET_00.16.42.833-00.16.43.961,00.16.42.833,00.16.43.961,00.16.42.397,00.16.44.397,[3001_PERSON22]
3001_21_JUMP_STREET_00.16.53.774-00.16.58.299,00.16.53.774,00.16.58.299,00.16.53.774,00.16.58.299,[3001_PERSON17]
3001_21_JUMP_STREET_00.16.58.976-00.17.05.025,00.16.58.976,00.17.05.025,00.16.58.976,00.17.05.025,[3001_PERSON17]
3001_21_JUMP_STREET_00.17.05.025-00.17.11.484,00.17.05.025,00.17.11.484,00.17.05.025,00.17.11.484,_
3001_21_JUMP_STREET_00.17.11.527-00.17.13.334,00.17.11.527,00.17.13.334,00.17.11.431,00.17.13.431,_
3001_21_JUMP_STREET_00.17.03.791-00.17.09.273,00.17.03.791,00.17.09.273,00.17.03.791,00.17.09.273,[3001_PERSON17]
3001_21_JUMP_STREET_00.17.50.944-00.17.57.996,00.17.50.944,00.17.57.996,00.17.50.944,00.17.57.996,[3001_PERSON10]
3001_21_JUMP_STREET_00.17.58.867-00.18.00.675,00.17.58.867,00.18.00.675,00.17.58.771,00.18.00.771,[3001_PERSON22]
3001_21_JUMP_STREET_00.18.19.315-00.18.21.904,00.18.19.315,00.18.21.904,00.18.19.315,00.18.21.904,_
3001_21_JUMP_STREET_00.18.36.970-00.18.39.995,00.18.36.970,00.18.39.995,00.18.36.970,00.18.39.995,[3001_PERSON17]
3001_21_JUMP_STREET_00.18.44.518-00.18.48.179,00.18.44.518,00.18.48.179,00.18.44.518,00.18.48.179,[3001_PERSON10]
3001_21_JUMP_STREET_00.19.49.334-00.19.51.776,00.19.49.334,00.19.51.776,00.19.49.334,00.19.51.776,[3001_PERSON1]
3001_21_JUMP_STREET_00.20.36.800-00.20.45.539,00.20.36.800,00.20.45.539,00.20.36.800,00.20.45.539,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.20.48.327-00.20.51.028,00.20.48.327,00.20.51.028,00.20.48.327,00.20.51.028,_
3001_21_JUMP_STREET_00.21.03.825-00.21.05.370,00.21.03.825,00.21.05.370,00.21.03.598,00.21.05.598,[3001_PERSON10]
3001_21_JUMP_STREET_00.21.12.531-00.21.14.331,00.21.12.531,00.21.14.331,00.21.12.431,00.21.14.431,[3001_PERSON17]
3001_21_JUMP_STREET_00.21.26.955-00.21.30.031,00.21.26.955,00.21.30.031,00.21.26.955,00.21.30.031,_
3001_21_JUMP_STREET_00.21.47.698-00.21.50.187,00.21.47.698,00.21.50.187,00.21.47.698,00.21.50.187,[3001_PERSON10]
3001_21_JUMP_STREET_00.21.50.802-00.21.54.546,00.21.50.802,00.21.54.546,00.21.50.802,00.21.54.546,_
3001_21_JUMP_STREET_00.22.03.858-00.22.06.180,00.22.03.858,00.22.06.180,00.22.03.858,00.22.06.180,[3001_PERSON17]
3001_21_JUMP_STREET_00.22.08.666-00.22.11.556,00.22.08.666,00.22.11.556,00.22.08.666,00.22.11.556,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_00.22.14.762-00.22.17.481,00.22.14.762,00.22.17.481,00.22.14.762,00.22.17.481,[3001_PERSON17]
3001_21_JUMP_STREET_00.22.21.688-00.22.27.384,00.22.21.688,00.22.27.384,00.22.21.688,00.22.27.384,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.22.29.240-00.22.31.545,00.22.29.240,00.22.31.545,00.22.29.240,00.22.31.545,_
3001_21_JUMP_STREET_00.22.31.711-00.22.33.907,00.22.31.711,00.22.33.907,00.22.31.711,00.22.33.907,[3001_PERSON17]
3001_21_JUMP_STREET_00.22.34.932-00.22.42.998,00.22.34.932,00.22.42.998,00.22.34.932,00.22.42.998,_
3001_21_JUMP_STREET_00.22.42.998-00.22.47.537,00.22.42.998,00.22.47.537,00.22.42.998,00.22.47.537,_
3001_21_JUMP_STREET_00.22.48.931-00.22.55.953,00.22.48.931,00.22.55.953,00.22.48.931,00.22.55.953,_
3001_21_JUMP_STREET_00.22.55.953-00.23.02.941,00.22.55.953,00.23.02.941,00.22.55.953,00.23.02.941,_
3001_21_JUMP_STREET_00.23.14.474-00.23.17.028,00.23.14.474,00.23.17.028,00.23.14.474,00.23.17.028,_
3001_21_JUMP_STREET_00.23.14.646-00.23.16.429,00.23.14.646,00.23.16.429,00.23.14.538,00.23.16.538,[3001_PERSON10]
3001_21_JUMP_STREET_00.23.18.030-00.23.19.640,00.23.18.030,00.23.19.640,00.23.17.835,00.23.19.835,[3001_PERSON10]
3001_21_JUMP_STREET_00.23.20.978-00.23.23.065,00.23.20.978,00.23.23.065,00.23.20.978,00.23.23.065,[3001_PERSON10]
3001_21_JUMP_STREET_00.23.24.961-00.23.26.938,00.23.24.961,00.23.26.938,00.23.24.950,00.23.26.950,_
3001_21_JUMP_STREET_00.23.28.404-00.23.30.572,00.23.28.404,00.23.30.572,00.23.28.404,00.23.30.572,[3001_PERSON17]
3001_21_JUMP_STREET_00.23.30.572-00.23.35.856,00.23.30.572,00.23.35.856,00.23.30.572,00.23.35.856,_
3001_21_JUMP_STREET_00.23.38.661-00.23.41.155,00.23.38.661,00.23.41.155,00.23.38.661,00.23.41.155,[3001_PERSON12]
3001_21_JUMP_STREET_00.23.41.560-00.23.45.039,00.23.41.560,00.23.45.039,00.23.41.560,00.23.45.039,[3001_PERSON6]
3001_21_JUMP_STREET_00.24.24.400-00.24.26.565,00.24.24.400,00.24.26.565,00.24.24.400,00.24.26.565,[3001_PERSON10]
3001_21_JUMP_STREET_00.24.35.733-00.24.38.964,00.24.35.733,00.24.38.964,00.24.35.733,00.24.38.964,_
3001_21_JUMP_STREET_00.24.51.847-00.24.55.408,00.24.51.847,00.24.55.408,00.24.51.847,00.24.55.408,_
3001_21_JUMP_STREET_00.25.25.920-00.25.27.774,00.25.25.920,00.25.27.774,00.25.25.847,00.25.27.847,[3001_PERSON17]
3001_21_JUMP_STREET_00.25.34.288-00.25.38.272,00.25.34.288,00.25.38.272,00.25.34.288,00.25.38.272,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_00.26.15.107-00.26.16.554,00.26.15.107,00.26.16.554,00.26.14.831,00.26.16.831,_
3001_21_JUMP_STREET_00.26.29.805-00.26.31.109,00.26.29.805,00.26.31.109,00.26.29.457,00.26.31.457,[3001_PERSON17]
3001_21_JUMP_STREET_00.27.34.103-00.27.36.103,00.27.34.103,00.27.36.103,00.27.34.103,00.27.36.103,[3001_PERSON12]
3001_21_JUMP_STREET_00.27.36.264-00.27.38.715,00.27.36.264,00.27.38.715,00.27.36.264,00.27.38.715,_
3001_21_JUMP_STREET_00.27.45.053-00.27.48.453,00.27.45.053,00.27.48.453,00.27.45.053,00.27.48.453,[3001_PERSON17]
3001_21_JUMP_STREET_00.28.33.007-00.28.36.307,00.28.33.007,00.28.36.307,00.28.33.007,00.28.36.307,_
3001_21_JUMP_STREET_00.28.37.007-00.28.38.454,00.28.37.007,00.28.38.454,00.28.36.731,00.28.38.731,_
3001_21_JUMP_STREET_00.28.39.970-00.28.44.614,00.28.39.970,00.28.44.614,00.28.39.970,00.28.44.614,_
3001_21_JUMP_STREET_00.29.10.458-00.29.16.038,00.29.10.458,00.29.16.038,00.29.10.458,00.29.16.038,"[3001_PERSON21],[3001_PERSON10]"
3001_21_JUMP_STREET_00.29.17.394-00.29.18.299,00.29.17.394,00.29.18.299,00.29.16.847,00.29.18.847,[3001_PERSON21]
3001_21_JUMP_STREET_00.29.29.652-00.29.30.737,00.29.29.652,00.29.30.737,00.29.29.195,00.29.31.195,_
3001_21_JUMP_STREET_00.29.30.737-00.29.34.487,00.29.30.737,00.29.34.487,00.29.30.737,00.29.34.487,[3001_PERSON8]
3001_21_JUMP_STREET_00.29.34.699-00.29.36.883,00.29.34.699,00.29.36.883,00.29.34.699,00.29.36.883,[3001_PERSON8]
3001_21_JUMP_STREET_00.29.37.979-00.29.42.124,00.29.37.979,00.29.42.124,00.29.37.979,00.29.42.124,[3001_PERSON17]
3001_21_JUMP_STREET_00.29.42.124-00.29.46.990,00.29.42.124,00.29.46.990,00.29.42.124,00.29.46.990,[3001_PERSON17]
3001_21_JUMP_STREET_00.29.47.490-00.29.49.390,00.29.47.490,00.29.49.390,00.29.47.440,00.29.49.440,[3001_PERSON12]
3001_21_JUMP_STREET_00.30.11.894-00.30.14.336,00.30.11.894,00.30.14.336,00.30.11.894,00.30.14.336,[3001_PERSON17]
3001_21_JUMP_STREET_00.30.26.180-00.30.29.839,00.30.26.180,00.30.29.839,00.30.26.180,00.30.29.839,[3001_PERSON10]
3001_21_JUMP_STREET_00.30.36.573-00.30.40.797,00.30.36.573,00.30.40.797,00.30.36.573,00.30.40.797,[3001_PERSON10]
3001_21_JUMP_STREET_00.30.54.043-00.30.55.998,00.30.54.043,00.30.55.998,00.30.54.021,00.30.56.021,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.31.00.908-00.31.03.395,00.31.00.908,00.31.03.395,00.31.00.908,00.31.03.395,[3001_PERSON8]
3001_21_JUMP_STREET_00.31.16.371-00.31.18.056,00.31.16.371,00.31.18.056,00.31.16.214,00.31.18.214,_
3001_21_JUMP_STREET_00.31.18.572-00.31.23.036,00.31.18.572,00.31.23.036,00.31.18.572,00.31.23.036,_
3001_21_JUMP_STREET_00.31.23.321-00.31.27.164,00.31.23.321,00.31.27.164,00.31.23.321,00.31.27.164,_
3001_21_JUMP_STREET_00.31.27.164-00.31.33.376,00.31.27.164,00.31.33.376,00.31.27.164,00.31.33.376,_
3001_21_JUMP_STREET_00.32.29.790-00.32.31.266,00.32.29.790,00.32.31.266,00.32.29.528,00.32.31.528,_
3001_21_JUMP_STREET_00.32.51.212-00.32.53.461,00.32.51.212,00.32.53.461,00.32.51.212,00.32.53.461,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_00.32.53.461-00.32.57.392,00.32.53.461,00.32.57.392,00.32.53.461,00.32.57.392,_
3001_21_JUMP_STREET_00.33.01.451-00.33.09.756,00.33.01.451,00.33.09.756,00.33.01.451,00.33.09.756,_
3001_21_JUMP_STREET_00.33.16.349-00.33.18.238,00.33.16.349,00.33.18.238,00.33.16.294,00.33.18.294,_
3001_21_JUMP_STREET_00.33.18.773-00.33.21.476,00.33.18.773,00.33.21.476,00.33.18.773,00.33.21.476,_
3001_21_JUMP_STREET_00.33.44.490-00.33.50.786,00.33.44.490,00.33.50.786,00.33.44.490,00.33.50.786,_
3001_21_JUMP_STREET_00.33.52.035-00.33.57.289,00.33.52.035,00.33.57.289,00.33.52.035,00.33.57.289,_
3001_21_JUMP_STREET_00.33.57.289-00.34.02.921,00.33.57.289,00.34.02.921,00.33.57.289,00.34.02.921,_
3001_21_JUMP_STREET_00.34.16.757-00.34.19.550,00.34.16.757,00.34.19.550,00.34.16.757,00.34.19.550,_
3001_21_JUMP_STREET_00.34.21.238-00.34.27.695,00.34.21.238,00.34.27.695,00.34.21.238,00.34.27.695,[3001_PERSON20]
3001_21_JUMP_STREET_00.34.33.717-00.34.37.573,00.34.33.717,00.34.37.573,00.34.33.717,00.34.37.573,_
3001_21_JUMP_STREET_00.34.48.202-00.34.49.290,00.34.48.202,00.34.49.290,00.34.47.746,00.34.49.746,[3001_PERSON17]
3001_21_JUMP_STREET_00.34.49.240-00.34.49.944,00.34.49.240,00.34.49.944,00.34.48.592,00.34.50.592,_
3001_21_JUMP_STREET_00.35.07.910-00.35.10.817,00.35.07.910,00.35.10.817,00.35.07.910,00.35.10.817,[3001_PERSON10]
3001_21_JUMP_STREET_00.35.18.641-00.35.20.669,00.35.18.641,00.35.20.669,00.35.18.641,00.35.20.669,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_00.35.20.669-00.35.24.608,00.35.20.669,00.35.24.608,00.35.20.669,00.35.24.608,[3001_PERSON10]
3001_21_JUMP_STREET_00.35.22.597-00.35.24.503,00.35.22.597,00.35.24.503,00.35.22.550,00.35.24.550,_
3001_21_JUMP_STREET_00.35.32.068-00.35.36.279,00.35.32.068,00.35.36.279,00.35.32.068,00.35.36.279,_
3001_21_JUMP_STREET_00.35.36.379-00.35.43.045,00.35.36.379,00.35.43.045,00.35.36.379,00.35.43.045,_
3001_21_JUMP_STREET_00.35.45.329-00.35.48.463,00.35.45.329,00.35.48.463,00.35.45.329,00.35.48.463,[3001_PERSON17]
3001_21_JUMP_STREET_00.35.51.069-00.35.55.241,00.35.51.069,00.35.55.241,00.35.51.069,00.35.55.241,[3001_PERSON10]
3001_21_JUMP_STREET_00.36.01.207-00.36.06.412,00.36.01.207,00.36.06.412,00.36.01.207,00.36.06.412,_
3001_21_JUMP_STREET_00.36.10.360-00.36.13.398,00.36.10.360,00.36.13.398,00.36.10.360,00.36.13.398,[3001_PERSON17]
3001_21_JUMP_STREET_00.36.18.582-00.36.21.664,00.36.18.582,00.36.21.664,00.36.18.582,00.36.21.664,[3001_PERSON10]
3001_21_JUMP_STREET_00.36.23.563-00.36.28.021,00.36.23.563,00.36.28.021,00.36.23.563,00.36.28.021,_
3001_21_JUMP_STREET_00.36.28.560-00.36.36.027,00.36.28.560,00.36.36.027,00.36.28.560,00.36.36.027,_
3001_21_JUMP_STREET_00.36.36.375-00.36.40.671,00.36.36.375,00.36.40.671,00.36.36.375,00.36.40.671,_
3001_21_JUMP_STREET_00.36.38.041-00.36.43.896,00.36.38.041,00.36.43.896,00.36.38.041,00.36.43.896,[3001_PERSON10]
3001_21_JUMP_STREET_00.36.45.683-00.36.47.412,00.36.45.683,00.36.47.412,00.36.45.548,00.36.47.548,_
3001_21_JUMP_STREET_00.36.45.683-00.36.49.335,00.36.45.683,00.36.49.335,00.36.45.683,00.36.49.335,[3001_PERSON10]
3001_21_JUMP_STREET_00.36.52.114-00.36.56.792,00.36.52.114,00.36.56.792,00.36.52.114,00.36.56.792,[3001_PERSON17]
3001_21_JUMP_STREET_00.36.56.792-00.36.58.025,00.36.56.792,00.36.58.025,00.36.56.409,00.36.58.409,[3001_PERSON17]
3001_21_JUMP_STREET_00.37.00.103-00.37.08.525,00.37.00.103,00.37.08.525,00.37.00.103,00.37.08.525,[3001_PERSON17]
3001_21_JUMP_STREET_00.37.16.603-00.37.18.755,00.37.16.603,00.37.18.755,00.37.16.603,00.37.18.755,[3001_PERSON12]
3001_21_JUMP_STREET_00.37.42.017-00.37.43.394,00.37.42.017,00.37.43.394,00.37.41.706,00.37.43.706,[3001_PERSON12]
3001_21_JUMP_STREET_00.37.45.279-00.37.48.296,00.37.45.279,00.37.48.296,00.37.45.279,00.37.48.296,[3001_PERSON17]
3001_21_JUMP_STREET_00.37.48.296-00.37.50.477,00.37.48.296,00.37.50.477,00.37.48.296,00.37.50.477,"[3001_PERSON17],[3001_PERSON17]"
3001_21_JUMP_STREET_00.37.54.792-00.37.58.256,00.37.54.792,00.37.58.256,00.37.54.792,00.37.58.256,[3001_PERSON10]
3001_21_JUMP_STREET_00.38.05.420-00.38.06.839,00.38.05.420,00.38.06.839,00.38.05.130,00.38.07.130,[3001_PERSON10]
3001_21_JUMP_STREET_00.38.09.907-00.38.12.807,00.38.09.907,00.38.12.807,00.38.09.907,00.38.12.807,[3001_PERSON17]
